time, Susceptible, Exposed, Infected, Hospitalized, Recovered, Death
106,65268746.03670767,4415173.224962303,5188674.508826437,5569070.328118101,87900646.78418565,37797278.11719983
107,64622585.45094427,4371462.994325349,5137306.109680164,5513932.486743846,88457553.81699745,38036748.14130891
108,63982821.85497992,4328185.497426362,5086446.329732047,5459341.013950928,89008947.06567183,38273847.23823889
109,63349391.91861562,4285336.449817793,5036090.123743195,5405290.438917667,89554881.16706692,38508598.90183879
110,62722232.93862132,4242911.609528058,4986232.497778198,5351775.352401468,90095410.21095869,38741026.39071225
111,62101282.83252897,4200906.7766316505,4936868.508512929,5298790.405262087,90630587.74619883,38971152.73086551
112,61486480.13248693,4159317.792824992,4887993.262574064,5246330.30709717,91160466.78672504,39199000.718291774
113,60877763.979175314,4118140.541007708,4839601.915906673,5194389.8249785695,91685099.81743476,39424592.92149695
114,60275074.11578148,4077370.944869089,4791689.673166746,5142963.7822790155,92204538.79993261,39647951.683971025
115,59678350.88203524,4037004.9684795304,4744251.787135864,5092047.057579794,92718835.17816052,39869099.12660902
116,59087535.208303094,3997038.6158867525,4697283.558155667,5041634.583651007,93228039.8839185,40088057.15008495
117,58502568.60974089,3957467.9307166478,4650780.33358002,4991721.346496865,93732203.34228359,40304847.43718194
118,57923393.180504456,3918288.9957786063,4604737.507243065,4942302.384459245,94231375.47693327,40519491.45508131
119,57349951.58801746,3879497.932675193,4559150.518941605,4893372.787373439,94725605.7153792,40732010.45761305
120,56782187.06729609,3841090.901416067,4514014.853930446,4844927.695770696,95214942.99411654,40942425.487470105
121,56220043.41532986,3803064.1000360376,4469326.0424295,4796962.300122693,95699435.76369362,41150757.37838825
122,55663464.98551809,3765413.7642171723,4425079.659141631,4749471.840123648,96179131.99370588,41357026.75729352
123,55112396.68216146,3728136.166914868,4381271.322780332,4702451.604006199,96654079.17771825,41561254.04641884
124,54566783.95500806,3691227.617987818,4337896.695606447,4655896.927887646,97124324.33811887,41763459.46539111
125,54026572.79385348,3654684.463831801,4294951.482973265,4609803.19514349,97589914.03090763,41963663.033290274
126,53491709.72319433,3618503.0870172316,4252431.432879375,4564165.83580558,98050894.35042198,42161884.570681445
127,52962141.79693471,3582679.905930413,4210332.335528764,4518980.325982436,98507310.93400253,42358143.701621085
128,52437816.59314506,3547211.3744184393,4168650.0228977106,4474242.187299628,98959208.96660078,42552459.85563833
129,51918682.20887292,3512093.9814376943,4127380.3683080617,4429946.986358311,99406633.18533073,42744852.26969222
130,51404687.25500508,3477324.2507058964,4086519.28600655,4386090.334210224,99849627.88396657,42935339.99010563
131,50895780.85118052,3442898.7403576504,4046062.730749839,4342667.885847669,100288236.91738759,43123941.87447667
132,50391912.62075384,3408814.0426034546,4006006.6973950304,4299675.339707144,100722503.70597236,43310676.593568124
133,49893032.685808375,3375066.7833921276,3966347.2204953874,4257108.437185455,101152471.23994307,43495562.63317553
134,49399091.662218876,3341653.6220766106,3927080.3739010664,4214962.962167276,101578182.08366162,43678618.2959745
135,48910040.65476291,3308571.251083107,3888202.27036467,4173234.740563222,101999678.37987834,43859861.70334769
136,48425831.25228076,3275816.3955835244,3849709.061151453,4131919.6398576344,102417001.85393466,44039310.79719191
137,47946415.52288318,3243385.813171178,3811596.9356540283,4091013.568665343,102830193.81792042,44216983.34170579
138,47471746.00920663,3211276.293539725,3773862.1210114495,4050512.476296774,103239295.17478696,44392896.925158404
139,47001775.723715484,3179484.658165288,3736500.881732539,4010412.352330828,103644346.42241663,44567068.961639166
140,46536458.1440507,3148007.759991745,3699509.5193233597,3970709.2261950253,104045387.65764971,44739516.69278939
141,46075747.2084246,3116842.4831191367,3662884.3719187328,3931399.166752474,104442458.58026922,44910257.18951578
142,45619597.311061196,3085985.742495175,3626621.8139177077,3892478.2818952603,104835598.49694447,45079307.35368613
143,45167963.29768169,3055434.4836098095,3590718.255622906,3853942.7181439106,105224846.325134,45246683.91980763
144,44720800.46103464,3025185.6821928257,3555170.142883667,3815788.6602526037,105610240.59694839,45412403.456687815
145,44278064.5364704,2995236.3439144394,3519973.956742915,3778012.3308198624,105991819.46297364,45576482.36907868
146,43839711.69755934,2965583.504088865,3485126.2130877012,3740609.989904467,106369620.69605562,45738936.899303935
147,43405698.551753506,2936224.2273808173,3450623.462303343,3703577.9346463713,106743681.69504607,45899783.128869824
148,42975982.13609114,2907155.6075149244,3416462.2889311183,3666912.4988924176,107114039.4885107,46059036.980059616
149,42550519.91294384,2878374.7669880195,3382639.3113294514,3630610.052826676,107480730.73839994,46216714.21751199
150,42129269.7658057,2849878.8567842855,3349151.1813385505,3594667.0026052403,107843791.74368261,46372830.449783534
151,41712189.99512422,2821665.0560932173,3315994.583948445,3559079.789995341,108203258.44394313,46527401.13089556
152,41299239.31417249,2793730.5720303818,3283166.2369703753,3523844.8920186423,108559166.42294267,46680441.56186536
153,40890376.84496219,2766072.6393609424,3250662.8907114975,3488958.8205986014,108911550.91214453,46831966.89222216
154,40485562.11419706,2738688.5202259207,3218481.3276528595,3454418.1222117865,109260446.79420438,46981992.1215079
155,40084755.04926651,2711575.5038711717,3186618.3621306084,3420219.377543052,109605888.60642557,47130532.10076301
156,39687915.97427877,2684730.9063790394,3155070.840020392,3386359.2011444825,109947910.54417987,47277601.53399736
157,39295005.60613341,2658152.0704026744,3123835.638424918,3352834.24109802,110286546.46429431,47423214.97964657
158,38905985.050632685,2631836.3649029774,3092909.6653646333,3319641.178681706,110621829.88840412,47567386.85201379
159,38520815.79863142,2605781.1848881505,3062289.85947149,3286776.7280394556,110953794.00627229,47710131.422697105
160,38139459.72222497,2579983.9511558283,3031973.189685765,3254237.635854312,111282471.67907622,47851462.8220028
161,37761879.070974946,2554442.110037757,3001956.654955897,3222020.681025112,111607895.44266166,47991395.04034454
162,37388036.4681723,2529153.1331470096,2972237.2839413113,3190122.674346506,111930097.51076417,48129941.92962862
163,37017894.907137394,2504114.517127695,2942812.134718201,3158540.458192286,112249109.77819882,48267117.20462552
164,36651417.74755673,2479323.7834071526,2913678.2944882317,3127270.9062019605,112564963.82401805,48402934.44432779
165,36288568.71185592,2454778.4779505967,2884832.8792901374,3096310.9229705418,112877690.91463824,48537407.09329447
166,35929311.881608546,2430476.1710181898,2856273.0337141845,3065657.4437414883,113187322.00693528,48670548.46298221
167,35573611.69398062,2406414.4569245223,2827995.9306194647,3035307.4341027676,113493887.75130944,48802371.733063094
168,35221432.93821021,2382590.953800474,2799998.7708539977,3005257.8896859954,113797418.49471971,48932889.952729516
169,34872740.75212193,2359003.3033574307,2772278.7829776076,2975505.835868612,114097944.2836883,49062116.04198601
170,34527500.618675925,2335649.170653839,2744833.222987548,2946048.327479059,114395494.86727516,49190062.79292836
171,34185678.36255103,2312526.2438640683,2717659.3740468463,2916882.4485049173,114690099.70002307,49316742.87100996
172,33847240.146761775,2289632.234049563,2690754.5462153433,2888005.311803978,114981787.94487356,49442168.81629567
173,33512152.469308835,2266964.8749322603,2664116.0761833955,2859414.058818201,115270588.47605395,49566353.04470324
174,33180382.15986268,2244521.922670252,2637741.327008219,2831105.8592905407,115556529.88193578,49689307.84923242
175,32851896.37648004,2222301.1556356656,2611627.687852843,2803077.9109845962,115839640.46786483,49811045.401181914
176,32526662.602352887,2200300.374194745,2585772.5737276524,2775327.4394070623,116119948.25896329,49931577.751354255
177,32204648.642589595,2178517.40049011,2560173.425234488,2747851.6975329453,116397481.002904,50050916.83124876
178,31885822.621027958,2156950.078225167,2534827.708313284,2720647.965533518,116672266.1726573,50169074.45424268
179,31570152.977079783,2135596.2724506613,2509732.9139912114,2693713.55050698,116944330.96921065,50286062.316760615
180,31257608.462606695,2114453.8693533354,2484886.5581343113,2667045.786211798,117213702.32426135,50401891.999432415
181,30948158.138826888,2093520.776046683,2460286.181201583,2640642.032802698,117480406.90288253,50516574.96823952
182,30641771.373252504,2072794.920363775,2435929.348001508,2614499.676569281,117744471.1061628,50630122.57565004
183,30338417.836657304,2052274.250652135,2411813.6474509896,2588616.1296772324,118005921.07381973,50742546.061742514
184,30038067.500074398,2031956.7355706461,2387936.692336673,2562988.829912101,118264782.68678746,50853856.55531864
185,29740690.631823663,2011840.363888469,2364296.119078633,2537615.240425624,118521081.56977867,50964065.07500486
186,29446257.79456861,1991923.1442859499,2340889.5874964017,2512492.8494845643,118774843.09382123,51073182.53034316
187,29154739.84240238,1972203.1051574994,2317714.78057731,2487619.170222043,119026092.37876968,51181219.722871
188,28866107.917962596,1952678.2944164237,2294769.4042471247,2462991.740391335,119274854.29579188,51288187.347190544
189,28580333.449574765,1933346.7793016871,2272051.187142959,2438608.122122106,119521153.46983102,51394095.99202737
190,28297388.148423973,1914206.6461865886,2249557.8803884247,2414465.901679068,119765014.28204323,51498956.141278625
191,28017244.005754575,1895256.0003893315,2227287.2573710186,2390562.6892230217,120006460.87221114,51602778.175050825
192,27739873.290097605,1876492.9659854686,2205237.1135217063,2366896.118574275,120245517.14113344,51705572.37068742
193,27465248.54452564,1857915.6856222055,2183405.266096692,2343463.8469783976,120482206.75299087,51807348.90378611
194,27193342.583934836,1839522.3203345397,2161789.5539613487,2320263.5548743,120716553.13768871,51908117.84920618
195,26924128.492353883,1821311.049363223,2140387.837376285,2297292.9456646107,120948579.49317615,52007889.18206578
196,26657579.62027958,1803280.0699745228,2119197.9977855333,2274549.7454883265,121178308.78774261,52106672.77872936
197,26393669.582038812,1785427.5972817715,2098217.9376068334,2252031.7029957147,121405763.76229145,52204478.417785354
198,26132372.25317663,1767751.8640686788,2077445.5800239912,2229736.5891254465,121630966.93259102,52301315.78101417
199,25873661.76787018,1750251.1206143964,2056878.868781295,2207662.196883935,121853940.59150356,52397194.45434656
200,25617512.516368266,1732923.6345203118,2036515.7679799665,2185806.34112686,122074706.81119196,52492123.92881257
201,25363899.14245622,1715767.6905385589,2016354.261876627,2164166.858342857,122293287.44530465,52586113.60148103
202,25112796.540945902,1698781.5904022255,1996392.3546837587,2142741.606439347,122509704.13113894,52679172.77638977
203,24864179.855190538,1681963.6526572423,1976628.070372141,2121528.4645304857,122723978.29178287,52771310.66546666
204,24618024.474624153,1665312.2124959345,1957059.4524752435,2100525.3327272176,122936131.13823593,52862536.38944147
205,24374306.032325376,1648825.6215922239,1937684.5638955557,2079730.1319294032,123146183.67150865,52952858.97874874
206,24133000.402605355,1632502.2479384602,1918501.4867128327,2059140.8036200064,123354156.68470159,53042287.3744217
207,23894083.698619563,1616340.4756838689,1899508.321994241,2038755.3096613216,123560070.7650636,53130830.42897736
208,23657532.27000323,1600338.704974598,1880703.1896063825,2018571.6320932156,123763946.29602973,53218496.9072928
209,23423322.700530197,1584495.351795349,1862084.2280291803,1998587.772933369,123965803.45923905,53305295.48747281
210,23191431.805794947,1568808.8478125746,1843649.5941716065,1978801.7539794943,124165662.23653239,53391234.761708945
211,22961836.630917575,1553277.6402192297,1825397.4631892347,1959211.6166135133,124363542.41193034,53476323.23713006
212,22734514.44827149,1537900.191581059,1807326.0283035988,1939815.4216076715,124559463.5735917,53560569.33664444
213,22509442.755233604,1522674.9796844062,1789433.5006233393,1920611.2489325744,124753445.11575246,53643981.39977357
214,22286599.27195679,1507600.4973855303,1771718.1089671222,1901597.1975671218,124945506.24064572,53726567.68347767
215,22065961.93916442,1492675.2524614134,1754178.099688308,1882771.3853103265,125135665.96040243,53808336.36297306
216,21847508.91596669,1477897.7674620452,1736811.7365013598,1864131.9485949937,125323943.09893346,53889295.5325414
217,21631218.57769862,1463266.579564171,1719617.3003099672,1845677.0423032467,125510356.29379296,53969453.206330985
218,21417069.5137794,1448780.2404264854,1702593.0890368735,1827404.8395838777,125694923.99802329,54048817.31915002
219,21205040.525592986,1434437.316046263,1685737.417455387,1809313.531671508,125877664.48198168,54127395.72725213
220,20995110.624389615,1420236.386617405,1669048.6170225604,1791401.3277075377,126058595.83514883,54205196.20911401
221,20787259.029208157,1406176.0463898927,1652525.0357140214,1773666.4545628685,126237735.96791957,54282226.46620543
222,20581465.164818995,1392254.9035306326,1636165.0378604392,1756107.1566623813,126415102.61337586,54358494.12375163
223,20377708.659687288,1378471.5799856794,1619967.0039856092,1738721.695811152,126590713.32904209,54434006.731488116
224,20175969.343956385,1364824.7113438211,1603929.3306461417,1721508.3510223872,126764585.4986232,54508771.76440799
225,19976227.247451216,1351312.9467015173,1588050.4302727364,1704465.4183470632,126936736.33372545,54582796.62350196
226,19778462.59770145,1337934.9485291722,1572328.7310130289,1687591.2107052526,127107182.87556016,54656088.63649088
227,19582655.817984205,1324689.3925387333,1556762.6765759937,1670884.0577191198,127275941.99663068,54728655.05855121
228,19388787.525386162,1311574.9675525997,1541350.7260778858,1654342.3055475706,127443030.4024026,54800503.07303313
229,19196838.52888484,1298590.375373829,1526091.3538897103,1637964.3167225374,127608464.63295735,54871639.79217168
230,19006789.82744888,1285734.3306576281,1510983.0494861982,1621748.4699868874,127772261.06462961,54942072.25779075
231,18818622.608157136,1273005.5607841176,1496024.3172962815,1605693.1601339336,127934435.9116283,55011807.44200019
232,18632318.24433638,1260402.8057323548,1481213.6765550454,1589796.7978485357,128095005.2276417,55080852.24788595
233,18447858.29371745,1247924.8179556045,1466549.661157148,1574057.8095497729,128253984.90742655,55149213.51019344
234,18265224.496609647,1235570.362257844,1452030.8195116902,1558474.6372351765,128411390.68838152,55216897.996004075
235,18084398.77409321,1223338.2156714913,1437655.7143985226,1543045.738326502,128567238.15210503,55283912.405405186
236,17905363.226229686,1211227.1673363436,1423422.9228259756,1527769.5855170297,128721542.72593768,55350263.37215322
237,17728100.130290013,1199236.0183797139,1409331.0358899971,1512644.6666203768,128874319.68448938,55415957.46433046
238,17552591.93900014,1187363.5817977546,1395378.658634685,1497669.4844208052,129025584.15115142,55481001.18499513
239,17378821.278804038,1175608.682337957,1381564.4099142007,1482842.5565250136,129175351.0995935,55545400.97282522
240,17206770.948143877,1163970.1563828113,1367886.9222560492,1468162.415215394,129323635.355246,55609163.202755794
241,17036423.915757254,1152446.8518346213,1354344.8417257136,1453627.6073047426,129470451.59676754,55672294.18661006
242,16867763.31899126,1141037.6280014585,1340936.8277926284,1439236.6939924092,129615814.35749802,55734800.17372416
243,16700772.462133246,1129741.355484244,1327661.5531974807,1424988.2507218702,129759738.02689727,55796687.35156583
244,16535434.814758126,1118556.91606495,1314517.703820825,1410880.8670397114,129902236.85196945,55857961.84634687
245,16371734.01009202,1107483.202595907,1301503.9785529985,1396913.1464560076,130043324.93867342,55918629.72362958
246,16209653.84339211,1096519.1188902075,1288619.0891653234,1383083.706306084,130183016.25331903,55978696.988927186
247,16049178.270342527,1085663.5796131943,1275861.7601825865,1369391.177613646,130321324.62394963,56038169.58829835
248,15890291.405466136,1074915.5101750237,1263230.7287567786,1355834.2049552642,130458263.74171099,56097053.40893574
249,15732977.52055202,1064273.846624291,1250724.7445420863,1342411.4463262013,130593847.16220652,56155354.27974882
250,15577221.043098556,1053737.5355427107,1238342.5695711195,1329121.5730075669,130728088.30683914,56213077.971940845
251,15423006.55477188,1043305.5339408378,1226082.9781323653,1315963.2694347876,130861000.4641399,56270230.19958017
252,15270318.789879639,1032976.8091548235,1213944.7566488548,1302935.2330673793,130992596.79108337,56326816.62016587
253,15119142.63385983,1022750.3387441908,1201926.703558031,1290036.174260009,131122890.31439011,56382842.83518777
254,14969463.121784618,1012625.1103906232,1190027.6291928063,1277264.816134832,131251893.93181612,56438314.390680954
255,14821265.436878951,1002600.1217977561,1178246.3556637974,1264619.8944550948,131379620.4134296,56493236.77777475
