time, Susceptible, Socially_distanced, Exposed, Infectious, J, Q, Recovered, R0
127,5.81087992001428e-31,185206049.11013284,0.00634111227792848,0.010568517613614603,0.007686193850919839,41301.93456398549,154563389.79084033,1.4693679385278594e-38
128,2.898493634150755e-31,185206049.11013284,0.005350313484502155,0.008917187003637278,0.00648522632886357,39128.15237739897,154565563.57687002,7.346839692639297e-39
129,1.4457819577851137e-31,185206049.11013284,0.004514327002548693,0.00752387673468142,0.005471909915341105,37068.7791790964,154567622.95331094,3.6734198463196485e-39
130,7.211626911402205e-32,185206049.11013284,0.00380896340840046,0.006348271145159299,0.004616924141340907,35117.793537204176,154569573.94168878,1.8367099231598242e-39
131,3.597192676891212e-32,185206049.11013284,0.0032138128758378882,0.005356353891432046,0.0038955298569602784,33269.4909226555,154571422.24661177,9.183549615799121e-40
132,1.7942962543196504e-32,185206049.11013284,0.0027116546139882183,0.004519423680423704,0.0032868534013381504,31518.46703238593,154573173.27244982,4.5917748078995606e-40
133,8.950032254174114e-33,185206049.11013284,0.0022879585805525592,0.003813263793753437,0.002773282620775001,29859.601989897583,154574832.13913575,2.2958874039497803e-40
134,4.4643172585304175e-33,185206049.11013284,0.0019304650523412218,0.0032174413735264152,0.0023399572588258598,28288.0453770706,154576403.6971352,1.1479437019748901e-40
135,2.2268219844143614e-33,185206049.11013284,0.001628829887912906,0.0027147161945731274,0.0019743389727945337,26799.2020535192,154577892.54162875,5.739718509874451e-41
136,1.1107490492070117e-33,185206049.11013284,0.0013743252179265145,0.002290541815916237,0.0016658485350405487,25388.718722082413,154579303.02594736,2.8698592549372254e-41
137,5.540467351900838e-34,185206049.11013284,0.0011595869026254967,0.0019326446772381957,0.0014055597214993336,24052.47120121287,154580639.27430114,1.4349296274686127e-41
138,2.763610601277957e-34,185206049.11013284,0.0009784014490902629,0.0016306689614638808,0.0011859410300592158,22786.55236708679,154581905.19383806,7.174648137343063e-42
139,1.3785016805262107e-34,185206049.11013284,0.0008255262226699092,0.0013758769475182642,0.001000637755395578,21587.260730210633,154583104.48606792,3.587324068671532e-42
140,6.876029793542043e-35,185206049.11013284,0.000696537750377736,0.0011608961829308714,0.0008442881145773551,20451.089613150005,154584240.6576853,1.793662034335766e-42
141,3.4297952907558213e-35,185206049.11013284,0.0005877037268812147,0.0009795061606946748,0.0007123681030213953,19374.716897759852,154585317.03082284,8.96831017167883e-43
142,1.7107976680873413e-35,185206049.11013284,0.0004958750195560249,0.0008264583278461959,0.0006010605916843664,18354.995311956543,154586336.75276482,4.484155085839415e-43
143,8.53353746511239e-36,185206049.11013284,0.000418394547750396,0.0006973242176902758,0.0005071448778037322,17388.94322764702,154587302.80514967,2.2420775429197073e-43
144,4.2565677418703996e-36,185206049.11013284,0.00035302039966439663,0.0005883673113537062,0.00042790349332443505,16473.73594292225,154588218.01268798,1.1210387714598537e-43
145,2.1231955698565678e-36,185206049.11013284,0.0002978609622168347,0.0004964349209628416,0.00036104357450064407,15606.697423035983,154589085.05142182,5.605193857299268e-44
146,1.0590597169440774e-36,185206049.11013284,0.00025132018687045425,0.0004188669660685116,0.0003046305174910324,14785.292476029561,154589906.45654935,2.802596928649634e-44
147,5.282638584864038e-37,185206049.11013284,0.00021205140767194578,0.00035341900374989216,0.0002570320002626441,14007.119340132738,154590684.62983757,1.401298464324817e-44
148,2.6350044262676725e-37,185206049.11013284,0.00017891837522320426,0.00029819728526116066,0.00021687075106879508,13269.90266127333,154591421.84664494,7.006492321624085e-45
149,1.314352328842676e-37,185206049.11013284,0.0001509623790945786,0.0002516039600744962,0.0001829846968496877,12571.486840168005,154592120.26257446,3.5032461608120427e-45
150,6.556049876474395e-38,185206049.11013284,0.0001273745073610507,0.00021229084178940003,0.0001543933384434679,11909.829729546247,154592781.9197766,1.7516230804060213e-45
151,3.27018783621486e-38,185206049.11013284,0.00010747224058588652,0.0001791203981172142,0.00013026937966908396,11282.996663082587,154593408.75292024,8.758115402030107e-46
152,1.6311847355680188e-38,185206049.11013284,9.067970299434175e-05,0.0001511328361794554,0.00010991478936384552,10689.154798581352,154594002.59484988,4.379057701015053e-46
153,8.136424495511114e-39,185206049.11013284,7.651099940147585e-05,0.00012751833072745746,9.274060372678662e-05,10126.56775887657,154594565.18194455,2.1895288505075267e-46
154,4.058485965913623e-39,185206049.11013284,6.455615574499525e-05,0.00010759359170207369,7.824988454525767e-05,9593.590554779685,154595098.159195,1.0947644252537633e-46
155,2.0243914688331582e-39,185206049.11013284,5.446925640983974e-05,9.078209311171078e-05,6.602334019814726e-05,9088.664775232011,154595603.0850137,5.473822126268817e-47
156,1.009775776854736e-39,185206049.11013284,4.595843509580228e-05,7.659739114782054e-05,5.570719337700132e-05,8610.314030599891,154596081.43579134,2.7369110631344083e-47
157,5.036808024637158e-40,185206049.11013284,3.877742961208317e-05,6.462904884458451e-05,4.700294447545579e-05,8157.139635790336,154596534.610214,1.3684555315672042e-47
158,2.512383012005928e-40,185206049.11013284,3.271845623519517e-05,5.453076001032638e-05,3.9658734448874024e-05,7727.816520566001,154596963.9333527,6.842277657836021e-48
159,1.253188203350412e-40,185206049.11013284,2.7606197448445926e-05,4.6010328794494033e-05,3.346205722701861e-05,7321.08935510242,154597370.660538,3.4211388289180104e-48
160,6.250960404969209e-41,185206049.11013284,2.329272909712625e-05,3.88212149471902e-05,2.8233610812132812e-05,6935.768879459637,154597755.98103037,1.7105694144590052e-48
161,3.1180078044165045e-41,185206049.11013284,1.9653240175700274e-05,3.275540013181863e-05,2.3822109142863956e-05,6570.728426236462,154598121.02149773,8.552847072295026e-49
162,1.5552766356788527e-41,185206049.11013284,1.6582421398247106e-05,2.763736887631714e-05,2.0099904604386636e-05,6224.9006262403345,154598466.84930962,4.276423536147513e-49
163,7.757791401491359e-42,185206049.11013284,1.3991418054770996e-05,2.3319030000713964e-05,1.6959294521272603e-05,5897.274287540796,154598794.4756584,2.1382117680737565e-49
164,3.869622036904337e-42,185206049.11013284,1.1805258983713028e-05,1.967543157159344e-05,1.4309404760814792e-05,5586.891438781454,154599104.85851562,1.0691058840368783e-49
165,1.9301852722692532e-42,185206049.11013284,9.960687267507867e-06,1.660114539490024e-05,1.2073560273305756e-05,5292.844528105554,154599398.90543345,5.345529420184391e-50
166,9.627852926601559e-43,185206049.11013284,8.404329881959762e-06,1.4007216431723285e-05,1.0187066485377939e-05,5014.273769505199,154599677.47619808,2.6727647100921956e-50
167,4.80241732791232e-43,185206049.11013284,7.091153337903549e-06,1.1818588867848676e-05,8.595337350619792e-06,4750.364628835301,154599941.38534385,1.3363823550460978e-50
168,2.3954678542823735e-43,185206049.11013284,5.9831606288561196e-06,9.971934359933937e-06,7.252315892272065e-06,4500.345442141638,154600191.40453485,6.681911775230489e-51
169,1.1948703848681776e-43,185206049.11013284,5.048291780597351e-06,8.413819618209222e-06,6.119141536119517e-06,4263.485159339289,154600428.26482126,3.3409558876152446e-51
170,5.960068443760174e-44,185206049.11013284,4.259496189879015e-06,7.099160304375252e-06,5.163025672612064e-06,4039.09120664416,154600652.65877703,1.6704779438076223e-51
171,2.972909556062416e-44,185206049.11013284,3.593949910210419e-06,5.989916507950035e-06,4.356302912399845e-06,3826.507461507559,154600865.24252474,8.352389719038111e-52
172,1.482900961947891e-44,185206049.11013284,3.032395236740041e-06,5.0539920544329046e-06,3.675630583187431e-06,3625.112334132681,154601066.6376543,4.176194859519056e-52
173,7.396778211640329e-45,185206049.11013284,2.5585834809994097e-06,4.26430579656531e-06,3.1013133052019417e-06,3434.3169499635133,154601257.43304032,2.088097429759528e-52
174,3.68954699714597e-45,185206049.11013284,2.158804812093252e-06,3.5980080163301404e-06,2.6167331017422986e-06,3253.56342783188,154601438.186564,1.044048714879764e-52
175,1.8403630140925965e-45,185206049.11013284,1.8214915602036815e-06,3.035819264137176e-06,2.2078685549536843e-06,3082.323248728042,154601609.4267444,5.22024357439882e-53
176,9.17981537099252e-46,185206049.11013284,1.5368835039218563e-06,2.5614725043847073e-06,1.8628890935111362e-06,2920.095710425237,154601771.65428382,2.61012178719941e-53
177,4.578934134201775e-46,185206049.11013284,1.2967454564340662e-06,2.1612424257763207e-06,1.571812672851745e-06,2766.406463439564,154601925.34353173,1.305060893599705e-53
178,2.283993409236863e-46,185206049.11013284,1.0941289788662434e-06,1.8235482969000634e-06,1.3262169428699528e-06,2620.806124044441,154602070.94387192,6.525304467998525e-54
179,1.1392664188970298e-46,185206049.11013284,9.231713259183929e-07,1.538618875622898e-06,1.1189955456599922e-06,2482.8689602841578,154602208.88103634,3.262652233999262e-54
180,5.682713303713654e-47,185206049.11013284,7.78925806243644e-07,1.2982096763919224e-06,9.441524917357207e-07,2352.1916471444893,154602339.55835003,1.631326116999631e-54
181,2.8345635363735673e-47,185206049.11013284,6.572186490180747e-07,1.0953644145195111e-06,7.966286649658409e-07,2228.3920872405397,154602463.3579104,8.156630584998156e-55
182,1.4138933309354026e-47,185206049.11013284,5.545282351090005e-07,9.242137247987075e-07,6.721554361127982e-07,2111.1082935735626,154602580.64170447,4.078315292499078e-55
183,7.052564973799012e-48,185206049.11013284,4.6788319837321917e-07,7.79805330334812e-07,5.67131149256076e-07,1999.997331089979,154602691.75266728,2.039157646249539e-55
