time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
91,9.683006822819465e-58,165123723.010644,20383838.273799036,3.305013398740054,5.508241928140066,4.005963110530951,299757.3511490807,154304921.57963246,1.631326116999631e-54,1.1108190599232915e-96
92,1.8290291709413056e-58,165123723.010644,20383838.273799036,2.7886050551869204,4.647589789658183,3.380042037300492,283982.65143857914,154320698.28232452,4.078315292499078e-55,9.441962009347983e-98
93,3.4548645574331544e-59,165123723.010644,20383838.273799036,2.352885515313964,3.921411882116594,2.8519184660647916,269037.8861207252,154335644.7376634,1.0195788231247695e-55,8.025667707945791e-99
94,6.525915113789523e-60,165123723.010644,20383838.273799036,1.985247153546157,3.3086972733552527,2.4063122035615443,254879.42333676215,154349804.62640658,2.5489470578119236e-56,6.821817551753938e-100
95,1.2326841577843965e-60,165123723.010644,20383838.273799036,1.67505228580457,2.7917178227580264,2.0303304201195855,241465.9200014554,154363219.332898,6.372367644529809e-57,5.79854491899085e-101
96,2.3284247593748818e-61,165123723.010644,20383838.273799036,1.413325366147606,2.355515286725484,1.7130946657492994,228758.2025350099,154375928.06552964,1.5930919111324523e-57,4.928763181142221e-102
97,4.398175985172545e-62,165123723.010644,20383838.273799036,1.1924932776870425,1.9874685535046763,1.4454261545560207,216719.15368576333,154387967.97092623,3.982729777831131e-58,4.1894487039708896e-103
98,8.307741926667113e-63,165123723.010644,20383838.273799036,1.0061662030484422,1.6769284897671075,1.2195802156541795,205313.60515222148,154399374.24217284,9.956824444577827e-59,3.5610313983752554e-104
99,1.5692545308051128e-63,165123723.010644,20383838.273799036,0.8489527338221231,1.4149098365516497,1.0290222302688665,194508.23572379135,154410180.22139138,2.4892061111444567e-59,3.0268766886189666e-105
100,2.9641746267391585e-64,165123723.010644,20383838.273799036,0.7163038691624164,1.193831242073444,0.8682385742723457,184271.47467049642,154420417.49695578,6.223015277861142e-60,2.5728451853261227e-106
101,5.599047857007854e-65,165123723.010644,20383838.273799036,0.6043813896057888,1.0072959111117106,0.7325770976545338,174573.41012291532,154430115.99562266,1.5557538194652854e-60,2.1869184075272083e-107
102,1.0576076261590276e-65,165123723.010644,20383838.273799036,0.5099467974798844,0.8499065254596874,0.6181125266051946,165385.7021944686,154439304.06983966,3.8893845486632136e-61,1.858880646398128e-108
103,1.9977216117375373e-66,165123723.010644,20383838.273799036,0.43026761037365246,0.7171090812009975,0.5215328946675191,156681.5006089178,154448008.58048147,9.723461371658034e-62,1.5800485494384117e-109
104,3.77350875626452e-67,165123723.010644,20383838.273799036,0.3630382962527693,0.6050611250216313,0.4400437176340089,148435.3666064747,154456254.97525036,2.4308653429145085e-62,1.3430412670226497e-110
105,7.127804119423918e-68,165123723.010644,20383838.273799036,0.30631356246327407,0.5105205775557187,0.37128714007241226,140623.19891220328,154464067.3629665,6.077163357286271e-63,1.141585076969252e-111
106,1.3463753457715613e-68,165123723.010644,20383838.273799036,0.2584520683283875,0.43075192730167555,0.3132737144251358,133222.1635603942,154471468.58396187,1.5192908393215678e-63,9.703473154238643e-113
107,2.543176750272424e-69,165123723.010644,20383838.273799036,0.21806893265207697,0.3634470811525672,0.26432483903798676,126210.6273782833,154478480.27678084,3.7982270983039195e-64,8.247952181102846e-114
108,4.803822354174024e-70,165123723.010644,20383838.273799036,0.18399566192518996,0.30665858159131243,0.22302418980713518,119568.0949418458,154485122.9413797,9.495567745759799e-65,7.010759353937424e-115
109,9.073969871732311e-71,165123723.010644,20383838.273799036,0.15524633974937901,0.25874325836929524,0.1881767403013957,113275.14882542251,154491415.9990082,2.3738919364399497e-65,5.959145450846812e-116
110,1.7139878030994094e-71,165123723.010644,20383838.273799036,0.13098909916353854,0.2183146843628119,0.15877418474302166,107313.39297561253,154497377.8489464,5.934729841099874e-66,5.065273633219792e-117
111,3.2375622034247446e-72,165123723.010644,20383838.273799036,0.11052205241923564,0.18420306001641182,0.1339657634622138,101665.39904819897,154503025.9222609,1.4836824602749686e-66,4.3054825882368215e-118
112,6.115451348072725e-73,165123723.010644,20383838.273799036,0.09325298172873007,0.15542136570281442,0.11303364673520985,96314.65555485971,154508376.73273712,3.7092061506874214e-67,3.6596602000012933e-119
113,1.1551514022211992e-73,165123723.010644,20383838.273799036,0.078682203333616,0.13113680267222488,0.09537216479330854,91245.51967405889,154513445.92513475,9.273015376718553e-68,3.1107111700011024e-120
114,2.18197265599068e-74,165123723.010644,20383838.273799036,0.06638810906273851,0.11064669627504617,0.08047028306471049,86443.17158782239,154518248.32090706,2.3182538441796384e-68,2.6441044945009383e-121
115,4.1215416977690185e-75,165123723.010644,20383838.273799036,0.05601496702168562,0.09335816424733752,0.0678968156011168,81893.57121307854,154522797.96151695,5.795634610449096e-69,2.2474888203257968e-122
116,7.785205703568299e-76,165123723.010644,20383838.273799036,0.04726262842454724,0.07877096178264152,0.057287948862392774,77583.41720290326,154527108.1494755,1.448908652612274e-69,1.9103654972769286e-123
117,1.4705523391812365e-76,165123723.010644,20383838.273799036,0.03987784273321173,0.06646300702831665,0.04833671487685677,73500.10809935647,154531191.48722303,3.622271631530685e-70,1.6238106726853881e-124
118,2.777735444138912e-77,165123723.010644,20383838.273799036,0.0336469298061474,0.05607816819830182,0.04078410919550755,69631.70552564251,154535059.9139651,9.055679078826712e-71,1.3802390717825807e-125
119,5.246881727393366e-78,165123723.010644,20383838.273799036,0.02838959702393687,0.047315958930936895,0.03441159664732923,65966.89931108434,154538724.7405717,2.263919769706678e-71,1.173203211015194e-126
120,9.910867472761977e-79,165123723.010644,20383838.273799036,0.023953722488946734,0.039922843733192805,0.029034788056398836,62494.97444787823,154542196.6826407,5.659799424266695e-72,9.972227293629148e-128
121,1.8720699105876234e-79,165123723.010644,20383838.273799036,0.020210953350048806,0.03368490193879253,0.024498104961497617,59205.77978380498,154545485.89182216,1.4149498560666738e-72,8.476393199584782e-129
122,3.536164477791037e-80,165123723.010644,20383838.273799036,0.01705299188910368,0.028421637915039526,0.020670277965446942,56089.69836002562,154548601.985495,3.5373746401666845e-73,7.204934219647068e-130
123,6.679483038144731e-81,165123723.010644,20383838.273799036,0.01438846190643123,0.023980758418952093,0.01744054846148335,53137.619307794834,154551554.07488236,8.843436600416711e-74,6.124194086700009e-131
124,1.2616916983661773e-81,165123723.010644,20383838.273799036,0.012140264733551351,0.02023376598709395,0.014715463835479699,50340.911222395654,154554350.79168802,2.210859150104178e-74,5.205564973695007e-132
125,2.3832172828876282e-82,165123723.010644,20383838.273799036,0.010243348368933952,0.01707224085493786,0.012416173414513336,47691.396936843594,154557000.3133313,5.527147875260445e-75,4.424730227640754e-133
126,4.5016739230425505e-83,165123723.010644,20383838.273799036,0.008642825186288023,0.014404703823849323,0.010476146920991133,45181.32962193853,154559510.3868543,1.3817869688151111e-75,3.7610206934946405e-134
127,8.503239824128463e-84,165123723.010644,20383838.273799036,0.0072923837509305195,0.012153969303244496,0.008839249416457896,42803.370143067856,154561888.35157123,3.454467422037778e-76,3.196867589470443e-135
128,1.6061822500412322e-84,165123723.010644,20383838.273799036,0.006152948789847626,0.010254911938516267,0.007458117034040072,40550.565607794255,154564141.16052613,8.636168555094445e-77,2.7173374510498802e-136
129,3.033927624888473e-85,165123723.010644,20383838.273799036,0.005191550541433934,0.008652582202300892,0.006292786501649102,38416.32904170571,154566275.40082127,2.159042138773611e-77,2.3097368333923976e-137
130,5.7308047283084585e-86,165123723.010644,20383838.273799036,0.004380370769334882,0.007300616423824721,0.005309538801399774,36394.42013327234,154568297.3128761,5.397605346934028e-78,1.9632763083835395e-138
131,1.082495263386841e-86,165123723.010644,20383838.273799036,0.0036959378366263067,0.006159895250577117,0.004479923506656067,34478.92699155372,154570212.8086726,1.349401336733507e-78,1.66878486212601e-139
132,2.0447320242244935e-87,165123723.010644,20383838.273799036,0.0031184475496534463,0.005197411724905698,0.0037799355659723127,32664.248863538964,154572027.48904058,3.3735033418337674e-79,1.4184671328071094e-140
133,3.8623070162987844e-88,165123723.010644,20383838.273799036,0.0026311901200200953,0.004385316223312625,0.003189320714212581,30945.079760688906,154573746.6600334,8.433758354584419e-80,1.2056970628860441e-141
134,7.29553570415104e-89,165123723.010644,20383838.273799036,0.002220066663766955,0.0037001106237376084,0.0026909894129344466,29316.392946891952,154575375.34844187,2.1084395886461046e-80,1.0248425034531383e-142
135,1.3780582689552087e-89,165123723.010644,20383838.273799036,0.0018731812475533685,0.003121968384016793,0.0022705223624016253,27773.42624255024,154576918.3164917,5.271098971615262e-81,8.711161279351675e-144
136,2.6030228205932853e-90,165123723.010644,20383838.273799036,0.0015804966776231547,0.0026341608579428084,0.0019157532772050108,26311.668101887724,154578380.0757676,1.3177747429038154e-81,7.404487087448929e-145
137,4.91686596798735e-91,165123723.010644,20383838.273799036,0.0013335440717445368,0.002222573249335724,0.0016164168530882076,24926.844422822905,154579764.90040454,3.2944368572595385e-82,6.293814024331589e-146
138,9.287498655752104e-92,165123723.010644,20383838.273799036,0.001125177810534453,0.001875296198211877,0.0013638517388780348,23614.906050882757,154581076.83958468,8.236092143148846e-83,5.349741920681852e-147
139,1.754321387692931e-92,165123723.010644,20383838.273799036,0.0009493687776384447,0.0015822811815549161,0.0011507499189919866,22372.016940656904,154582319.72937682,2.0590230357872116e-83,4.547280632579578e-148
140,3.3137485617946727e-93,165123723.010644,20383838.273799036,0.0008010299061324377,0.0013350497576721941,0.0009709452548847223,21194.542940207815,154583497.20395264,5.147557589468029e-84,3.8651885376926453e-149
141,6.259360233438782e-94,165123723.010644,20383838.273799036,0.0006758689832992444,0.001126448241087339,0.0008192350668604098,20079.041165669507,154584612.70621264,1.2868893973670072e-84,3.285410257038748e-150
142,1.1823344409310205e-94,165123723.010644,20383838.273799036,0.0005702644546587374,0.0009504407094560112,0.0006912295937020396,19022.249934988646,154585669.49785295,3.217223493417518e-85,2.7925987184829328e-151
143,2.2333188665891488e-95,165123723.010644,20383838.273799036,0.00048116063361830974,0.0008019343531324361,0.0005832249742150226,18021.079231393513,154586670.66890216,8.043058733543795e-86,2.3737089107104948e-152
144,4.218529873777085e-96,165123723.010644,20383838.273799036,0.00040597928461544883,0.000676632113852188,0.0004920960753906203,17072.60166872213,154587619.14675644,2.0107646833859488e-86,2.0176525741039204e-153
145,7.968407271429523e-97,165123723.010644,20383838.273799036,0.000342545021394285,0.0005709083486103049,0.00041520606615835716,16174.043932205846,154588517.704739,5.026911708464872e-87,1.715004687988333e-154
146,1.5051573970843977e-97,165123723.010644,20383838.273799036,0.00028902236180142795,0.0004817039210505857,0.0003503301202317548,15322.778669692783,154589368.97020912,1.256727927116218e-87,1.457753984790084e-155
147,2.8431011528749972e-98,165123723.010644,20383838.273799036,0.00024386261776995484,0.0004064376848194124,0.0002955910403785238,14516.316809610855,154590175.43224436,3.141819817790545e-88,1.2390908870715725e-156
148,5.370351420480643e-99,165123723.010644,20383838.273799036,0.0002057590837433994,0.0003429317976411147,0.000249404941394115,13752.30028321633,154590939.44891855,7.854549544476362e-89,1.0532272540108373e-157
149,1.014409014265786e-99,165123723.010644,20383838.273799036,0.00017360922690849324,0.0002893487050657422,0.00021043542010733618,13028.495129854782,154591663.2541966,1.9636373861190906e-89,8.952431659092115e-159
