time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
112,132700171.49918045,2586684.7492152303,1636230.9887266231,823033.1392436598,8324599.468433637,60068869.15520032
113,132303729.73682664,2578957.0195041522,1631342.733609847,820574.3168034856,8297979.2239273805,60507005.9693284
114,131908472.34423788,2571252.3777953982,1626469.084504909,818122.8418042045,8271530.633701366,60943741.71795616
115,131514395.78310947,2563570.754893278,1621609.9974092129,815678.6920283295,8245248.337040239,61379085.43551939
116,131121496.52570744,2555912.0818432425,1616765.4285089844,813241.845366468,8219127.244262813,61813045.87431098
117,130729771.05483688,2548276.2899257867,1611935.334169745,810812.2798104801,8193162.522511162,62245631.51874586
118,130339215.86381055,2540663.310651208,1607119.6709282128,808389.9734476763,8167349.582284235,62676850.598878026
119,129949827.45641743,2533073.0757550905,1602318.395485411,805974.9044558913,8141684.064677324,63106711.10320877
120,129561602.34689137,2525505.5171944047,1597531.464700791,803567.0510992984,8116161.829290674,63535220.79082337
121,129174537.05988003,2517960.567144117,1592758.835587219,801166.391724847,8090778.942772393,63962387.2028913
122,128788628.13041364,2510438.15799424,1588000.4653066825,798772.9047592282,8065531.667962586,64388217.673563525
123,128403872.10387403,2502938.2223472507,1583256.311166612,796386.5687062847,8040416.453607326,64812719.3402984
124,128020265.5359637,2495460.6930158166,1578526.3306167168,794007.3621447954,8015429.924612715,65235899.153646156
125,127637804.992675,2488005.5030207867,1573810.481246259,791635.2637265769,7990568.87281076,65657763.88652051
126,127256487.0502594,2480572.585589405,1569108.7207816923,789270.2521748532,7965830.248210324,66078320.142984234
127,126876308.29519674,2473161.8741537104,1564421.0070846137,786912.3062828497,7941211.150707734,66497574.36657425
128,126497265.32416484,2465773.3023490934,1559747.2981499776,784561.4049125783,7916708.822232963,66915532.84819045
129,126119354.7440089,2458406.80401299,1555087.552104529,782217.5269937835,7892320.63930857,67332201.73357113
130,125742573.17171118,2451062.313183687,1550441.7272054264,779880.6515230241,7868044.105999747,67747587.03037684
131,125366917.2343607,2443739.764099223,1545809.781839021,777550.7575628686,7843876.847234957,68161694.61490314
132,124992383.56912304,2436439.091196372,1541191.6745197694,775227.8242411895,7819816.602477709,68574530.23844182
133,124618968.82321028,2429160.2291096942,1536587.3638892602,772911.8307505371,7795861.219731056,68986099.53330907
134,124246669.65385094,2421903.112670645,1531996.8087153349,770602.7563475836,7772008.649857322,69396408.01855807
135,123875482.72826007,2414667.6769067366,1527419.9678912894,768300.5803526256,7748256.941196518,69805461.10539266
136,123505404.72360939,2407453.857040736,1522856.8004351447,766005.2821491351,7724604.234467751,70213264.10229774
137,123136432.32699761,2400261.588489904,1518307.2654889736,763716.8411833537,7701048.757938753,70619822.21990131
138,122768562.2354207,2393090.806865262,1513771.3223182778,761435.2369639203,7677588.822849443,71025140.5755823
139,122401791.15574238,2385941.447970884,1509248.9303114056,759160.4490615296,7654222.819076169,71429224.19783753
140,122036115.8046646,2378813.4478032137,1504740.0489790048,756892.4571086161,7630949.211023978,71832078.03042048
141,121671532.90869816,2371706.7425503973,1500244.6379535059,754631.2407990593,7607766.533734919,72233706.93626384
142,121308039.20413342,2364621.2685916335,1495762.656988629,752376.779887906,7584673.389201031,72634115.70119727
143,120945631.43701108,2357556.9624965396,1491294.0659589143,750129.0541911102,7561668.442871246,73033309.03747101
144,120584306.363093,2350513.761024526,1486838.8248592701,747888.0435852837,7538750.420341998,73431291.58709581
145,120224060.74783327,2343491.601124184,1482396.8938045348,745653.7280074593,7515918.104221904,73828067.92500855
146,119864891.36634912,2336490.419932682,1477968.233029055,743426.0874548634,7493170.331161323,74223642.56207286
147,119506795.00339215,2329510.1547751687,1473552.8028862728,741205.1019846954,7470505.989038159,74618019.94792345
148,119149768.4533195,2322550.7431641826,1469150.5638483246,738990.751713916,7447924.014291656,75011204.4736623
149,118793808.52006522,2315612.122799071,1464761.476505647,736783.0168190391,7425423.389396422,75403200.4744145
150,118438912.01711152,2308694.231565411,1460385.50156659,734581.8775359313,7403003.1404692875,75794012.23175114
151,118085075.7674604,2301797.0075344364,1456022.5998570381,732387.3141596131,7380662.335002027,76183643.97598638
152,117732296.60360512,2294920.3889624686,1451672.7323200344,730199.307044066,7358400.079713306,76572099.8883549
153,117380571.36750185,2288064.314290353,1447335.8600154114,728017.8366020416,7336215.518513586,76959384.10307665
154,117029896.91054145,2281228.722142897,1443011.9441194262,725842.8833048737,7314107.83057705,77345500.70931421
155,116680270.09352121,2274413.551328312,1438700.9459243973,723674.4276822933,7292076.228514906,77730453.7530288
156,116331687.78661682,2267618.740837658,1434402.8268383467,721512.450322246,7270119.956644742,78114247.2387401
157,115984146.8693543,2260844.2298442917,1430117.548384644,719356.9318707096,7248238.289350878,78496885.13119508
158,115637644.2305821,2254089.957703317,1425845.0722016536,717207.8530315158,7226430.529530924,78878371.35695039
159,115292176.76844324,2247355.8639510376,1421585.3600423834,715065.1945661714,7204696.007124001,79258709.80587307
160,114947741.39034751,2240641.8883044124,1417338.3737741373,712928.9372936815,7183034.07771635,79637904.3325638
161,114604335.01294385,2233947.970660511,1413104.0753781674,710799.0620903751,7161444.121220225,80015958.75770676
162,114261954.56209268,2227274.051095976,1408882.4269493304,708675.5498897294,7139925.540622243,80392876.86934993
163,113920596.97283843,2220620.0698664817,1404673.390695744,706558.3816821973,7118477.7607975155,80768662.42411952
164,113580259.18938208,2213985.967406199,1400476.9289384456,704447.5385150346,7097100.227386113,81143319.14837202
165,113240938.1650538,2207371.684327259,1396293.0041110527,702343.0014921287,7075792.405728572,81516850.73928708
166,112902630.8622857,2200777.161419223,1392121.578759424,700244.7517738275,7054553.779857343,81889260.86590438
167,112565334.25258462,2194202.339648548,1387962.6155413217,698152.7705767697,7033383.851541239,82260553.1701074
168,112229045.31650503,2187647.160158059,1383816.077226077,696067.0391737153,7012282.139380084,82630731.26755694
169,111893761.04362197,2181111.5642664214,1379681.9266942544,693987.538893377,6991248.177946937,82999798.74857694
170,111559478.43250415,2174595.4934676136,1375560.126937319,691914.2511202521,6970281.516975366,83367759.17899519
171,111226194.49068704,2168098.889430405,1371450.6410573039,689847.1572944558,6949381.72058942,83734616.10094127
172,110893906.23464611,2161621.693997832,1367353.4322664787,687786.2389115539,6928548.366574047,84100373.03360388
173,110562610.6897701,2155163.849186676,1363268.4638870202,685731.4775223966,6907781.045683822,84465033.47394988
174,110232304.89033441,2148725.297186946,1359195.6993506833,683682.8547329534,6887079.360987977,84828600.89740692
175,109902985.87947454,2142305.9803613597,1355135.1021984727,681640.3522041475,6866442.927249824,85191078.75851156
176,109574650.70915961,2135905.8412448275,1351086.636080317,679603.9516516919,6845871.370338749,85552470.49152471
177,109247296.440166,2129524.8225439377,1347050.264754742,677573.6348459253,6825364.326673082,85912779.51101622
178,108920920.142051,2123162.8671364435,1343025.9520885467,675549.3836116481,6804921.442692198,86272009.21242006
179,108595518.89312662,2116819.9180707517,1339013.6620564794,673531.1798279607,6784542.374356328,86630162.97256176
180,108271089.7804334,2110495.9185654125,1335013.3587409146,671519.0054281002,6764226.786672606,86987244.15015946
181,107947629.89971435,2104190.812008612,1331025.0063315318,669512.8423992788,6743974.353245993,87343256.08630012
182,107625136.35538895,2097904.541957663,1327048.5691249943,667512.6727825224,6723784.755853739,87698202.10489202
183,107303606.26052722,2091637.0521385027,1323084.0115246307,665518.4786725098,6703657.684042172,88052085.51309484
184,106983036.7368239,2085388.2864451867,1319131.298040114,663530.2422174126,6683592.834744628,88404909.60172865
185,106663424.91457264,2079158.1889393877,1315190.393287146,661547.9456187348,6663589.911919406,88756677.64566258
186,106344767.93264036,2072946.703849894,1311261.2619871388,659571.571131154,6643648.626206699,89107392.90418465
187,106027062.93844159,2066753.7755721111,1307343.8689669,657601.1010623616,6623768.694603502,89457058.62135343
188,105710307.08791299,2060579.348667563,1303438.1791583174,655636.5177729058,6603949.840155551,89805678.02633256
189,105394497.54548785,2054423.3678633964,1299544.1575980447,653677.8036760322,6584191.791665396,90153254.33370917
190,105079631.4840707,2048285.7780518858,1295661.7694271891,651724.9412375273,6564494.283415759,90499790.74379681
191,104765706.08501205,2042166.5242899398,1291790.979890999,649777.9129755609,6544857.054907378,90845290.44292396
192,104452718.53808308,2036065.5517986102,1287931.7543385522,647836.7014605302,6525279.85061056,91189756.60370857
193,104140666.04145056,2029982.8059626005,1284084.058222447,645901.2893149031,6505762.419729743,91533192.38531965
194,103829545.80165173,2023918.2323297777,1280247.8570984916,643971.6592130633,6486304.515980367,91875600.93372647
195,103519355.03356929,2017871.7766106846,1276423.1166253965,642047.7938811546,6466905.897377405,92216985.38193597
196,103210090.9604065,2011843.3846780534,1272609.8025644668,640129.6760969264,6447566.326034961,92557348.850219
197,102901750.81366228,2005833.002566322,1268807.880779296,638217.2886895799,6428285.567976321,92896694.4463261
198,102594331.83310646,1999840.5764711504,1265017.3172354598,636310.614539614,6409063.392953936,93235025.26569328
199,102287831.26675506,1993866.0527489388,1261238.078000212,634409.6365786719,6389899.574278799,93572344.39163822
200,101982246.37084563,1987909.377916348,1257470.1292421808,632514.337789389,6370793.888658725,93908654.89554763
201,101677574.40981273,1981970.4986498198,1253713.437231065,630624.7012052396,6351746.116045065,94243959.83705598
202,101373812.65626341,1976049.361785101,1249967.968337333,628740.709910386,6332756.039487419,94578262.26421624
203,101070958.39095283,1970145.914316766,1246233.6890319218,626862.3470395263,6313823.444995905,94911565.21366295
204,100769008.90275985,1964260.1033977428,1242510.565885936,624989.5957777436,6294948.12141062,95243871.710768
