time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
131,8.798989873248995e-83,177928420.52962685,7583611.396777609,0.003117270282574204,0.005195449613556881,0.003778508576023152,32655.71829182748,154572036.01961708,3.3735033418337674e-79,2.429138808358295e-34
132,1.8030829379226667e-83,177928420.52962685,7583611.396777609,0.0026301968009219846,0.00438366069181988,0.0031881166914007964,30936.998165722427,154573754.74163243,8.433758354584419e-80,1.3360263445970622e-34
133,3.694865124134272e-84,177928420.52962685,7583611.396777609,0.0022192285507779243,0.0036987137690089704,0.0026899735186553682,29308.73669842696,154575383.00469378,2.1084395886461046e-80,7.348144895283842e-35
134,7.571492136280921e-85,177928420.52962685,7583611.396777609,0.0018724740897188737,0.0031207897878157784,0.002269665201579927,27766.172954022826,154576925.56978318,5.271098971615262e-81,4.0414796924061136e-35
135,1.5515449480228584e-85,177928420.52962685,7583611.396777609,0.0015799000132002998,0.0026331664173804077,0.001915030047743908,26304.796564959488,154578386.94730708,1.3177747429038154e-81,2.2228138308233626e-35
136,3.1794152095860253e-86,177928420.52962685,7583611.396777609,0.001333040636137753,0.0022217341900978528,0.001615806628217056,24920.33454537138,154579771.4102842,3.2944368572595385e-82,1.2225476069528493e-35
137,6.515235725415815e-87,177928420.52962685,7583611.396777609,0.001124753036741229,0.0018745882419699135,0.0013633368616329912,23608.738798255148,154581083.00683922,8.236092143148846e-83,6.724011838240672e-36
138,1.335097612597176e-87,177928420.52962685,7583611.396777609,0.000949010374750412,0.0015816838434682522,0.001150315491308974,22366.174280015413,154582325.57203913,2.0590230357872116e-83,3.69820651103237e-36
139,2.7358728222360954e-88,177928420.52962685,7583611.396777609,0.0008007275036956602,0.001334545753655941,0.0009705787065215501,21189.007787803926,154583502.7391065,5.147557589468029e-84,2.0340135810678036e-36
140,5.606331723483097e-89,177928420.52962685,7583611.396777609,0.0006756138312432132,0.0011260229876944026,0.0008189257916747603,20073.797336893072,154584617.9500427,1.2868893973670072e-84,1.118707469587292e-36
141,1.148845631210433e-89,177928420.52962685,7583611.396777609,0.0005700491701114611,0.000950081901902554,0.0006909686427609809,19017.282097045805,154585674.465692,3.217223493417518e-85,6.152891082730105e-37
142,2.354206546185792e-90,177928420.52962685,7583611.396777609,0.0004809789872815453,0.0008016316092568313,0.000583004796856129,18016.372858475086,154586675.37527606,8.043058733543795e-86,3.384090095501558e-37
143,4.8242238221897895e-91,177928420.52962685,7583611.396777609,0.00040582602051880386,0.000676376673705365,0.0004919103007422724,17068.14299953143,154587623.6054265,2.0107646833859488e-86,1.861249552525857e-37
